ACO,ABC,CS,DIRECT,HS,PSO,Firefly
7.548822091,2.670393922,2.99846548,6.417385389,1.296673281,-38.00152589,-22.711651
8.372538382,-3.492947638,8.4861079,6.417385389,9.069630596,-23.99632151,-58.19188869
8.20272539,-3.41227991,8.19768852,6.417385389,6.628724415,-4.906191039,-51.41711618
6.385375505,-11.23164332,7.832112117,6.417385389,10.56570889,0.636397392,-65.2861744
8.591878116,-2.127096467,8.51162259,6.417385389,6.896973832,-40.88289819,-74.83371492
9.15295686,-4.287864472,9.473002723,6.417385389,7.630131547,-26.00089736,-51.50427027
7.127418499,3.927552842,7.144545266,6.417385389,9.490515221,-97.0838828,-66.61811828
6.876996056,-8.880388048,8.511610756,6.417385389,9.167836368,-34.92261526,-51.75438393
8.537310113,-2.746254095,9.15410908,6.417385389,6.263532869,-40.07368097,-27.23408051
6.135869627,9.283705236,7.686532811,6.417385389,7.371210509,-2.628104453,-175.5247009
8.308690977,2.648092921,7.464505028,6.417385389,7.613447264,-19.78439166,-116.4787197
7.861298605,-0.593207373,8.51162259,6.417385389,7.604944156,-27.49133315,-9.413687211
9.298722255,5.067484058,7.124825979,6.417385389,6.641635826,-38.35198227,-113.3948027
2.205635563,8.198196766,8.467162724,6.417385389,8.391714125,-91.90658776,-138.5617213
8.469385223,0.473394341,9.11551335,6.417385389,7.89462488,-51.17899267,-79.7955874
8.573920549,-9.290188774,9.558740137,6.417385389,7.191676063,-28.79152703,-39.60178704
8.407113203,5.796389497,8.504009056,6.417385389,6.394189036,-12.97146388,-124.8306263
9.283853077,4.752322202,9.558739523,6.417385389,6.717146566,-85.14549889,-2.315202098
7.734072584,-2.222570832,4.131882164,6.417385389,6.379557168,-49.74053987,-73.27303257
9.242336296,0.16499273,8.510815922,6.417385389,5.907670727,-51.17618338,-109.0135874
8.479542264,-5.898599309,7.464505028,6.417385389,7.401902786,-11.38879553,-7.865819659
8.576373474,0.555801353,4.322899525,6.417385389,7.899601879,-142.7914035,-0.493064741
6.285362924,-4.286869553,9.553346636,6.417385389,8.422658211,-8.171143375,-44.61063571
8.451454932,3.879239995,8.511622338,6.417385389,8.864874243,-34.41422162,-41.75268039
9.253632331,5.114254336,6.587133562,6.417385389,2.989685143,-53.93710838,-9.759430677
7.464455689,3.869356571,9.28958945,6.417385389,7.119779032,-41.49745948,-44.61761708
6.81467444,-3.420713535,5.032771946,6.417385389,8.855727337,-26.67432612,-62.62010773
7.632083007,6.557339341,7.927903546,6.417385389,9.354927469,-19.34965047,-19.71566589
8.675714753,-1.269623358,9.46943905,6.417385389,7.327267172,-52.27562153,-50.50089751
9.456847881,4.680607975,6.377911715,6.417385389,2.021985384,-19.90930615,-91.86844475
8.11712288,-5.109623806,8.535388726,6.417385389,7.574248285,-37.40910811,-38.11621584
9.501603091,6.827706528,9.372267862,6.417385389,7.839122822,-22.21513797,-74.47322977
